kx,ky,kz,e1,e2,e3,e4
-0.6922869704786354,-1.1990762184963002,0.0,-0.127,-0.127,2.753,2.753
-0.6692107381293475,-1.1396001176143402,0.0,-0.128,-0.128,2.745,2.745
-0.6461345057800597,-1.0801240167323805,0.0,-0.131,-0.131,2.705,2.708
-0.6230582734307719,-1.0206503164034106,0.0,-0.137,-0.137,2.628,2.635
-0.599982041081484,-0.9611742155214507,0.0,-0.147,-0.147,2.529,2.538
-0.5769058087321962,-0.9016981146394907,0.0,-0.162,-0.161,2.417,2.429
-0.5538295763829083,-0.8422220137575309,0.0,-0.183,-0.182,2.303,2.317
-0.5307533440336205,-0.7827483134285612,0.0,-0.212,-0.21,2.195,2.209
-0.5076771116843326,-0.7232722125466013,0.0,-0.249,-0.246,2.079,2.089
-0.4846008793350448,-0.6637961116646415,0.0,-0.296,-0.291,1.948,1.958
-0.46152464698575696,-0.6043200107826816,0.0,-0.351,-0.342,1.832,1.84
-0.4384484146364691,-0.5448463104537118,0.0,-0.41,-0.398,1.73,1.735
-0.4153721822871812,-0.4853702095717519,0.0,-0.469,-0.451,1.642,1.643
-0.3922959499378934,-0.42589410868979205,0.0,-0.521,-0.497,1.561,1.567
-0.36921971758860556,-0.3664180078078322,0.0,-0.558,-0.528,1.488,1.502
-0.3461434852393177,-0.30694430747886253,0.0,-0.578,-0.543,1.427,1.45
-0.32306725289002985,-0.24746820659690258,0.0,-0.581,-0.541,1.384,1.414
-0.299991020540742,-0.18799210571494263,0.0,-0.57,-0.527,1.363,1.399
-0.27691478819145415,-0.1285160048329828,0.0,-0.548,-0.503,1.367,1.408
-0.2538385558421663,-0.06903990395102284,0.0,-0.519,-0.471,1.396,1.441
-0.23076232349287848,-0.00956620362205321,0.0,-0.482,-0.433,1.449,1.458
-0.20768609114359063,0.04990989725990676,0.0,-0.439,-0.389,1.411,1.424
-0.1846098587943028,0.10938599814186657,0.0,-0.39,-0.338,1.358,1.37
-0.1615336264450149,0.16886209902382654,0.0,-0.335,-0.282,1.3,1.311
-0.13845739409572705,0.2283357993527962,0.0,-0.277,-0.222,1.239,1.249
-0.11538116174643921,0.2878119002347561,0.0,-0.216,-0.159,1.177,1.185
-0.09230492939715138,0.347288001116716,0.0,-0.158,-0.098,1.118,1.123
-0.06922869704786352,0.4067641019986759,0.0,-0.106,-0.042,1.065,1.068
-0.04615246469857569,0.4662378023276457,0.0,-0.064,0.002,1.023,1.024
-0.023076232349287844,0.5257139032096055,0.0,-0.037,0.031,0.994,0.997
0.0,0.5851900040915654,0.0,-0.028,0.041,0.983,0.987
0.011573458152115782,0.5688194329723626,0.0,-0.03,0.039,0.986,0.989
0.02314483736438033,0.5524452610236752,0.0,-0.036,0.032,0.993,0.996
0.03471829551649611,0.5360746899044725,0.0,-0.046,0.021,1.004,1.006
0.04629175366861189,0.5197041187852698,0.0,-0.059,0.007,1.018,1.019
0.057863132880876446,0.5033323473895726,0.0,-0.074,-0.009,1.034,1.035
0.06943659103299223,0.4869593757173796,0.0,-0.091,-0.028,1.052,1.053
0.08101004918510801,0.47058880459817687,0.0,-0.11,-0.048,1.07,1.074
0.09258142839737256,0.45421703320247964,0.0,-0.129,-0.069,1.09,1.095
0.10415488654948833,0.43784646208327704,0.0,-0.15,-0.09,1.11,1.116
0.11572834470160412,0.4214734904110841,0.0,-0.17,-0.112,1.13,1.138
0.12729972391386868,0.4051017190153867,0.0,-0.191,-0.134,1.149,1.159
0.13887318206598445,0.3887311478961841,0.0,-0.211,-0.156,1.168,1.179
0.15044664021810022,0.37236057677698153,0.0,-0.231,-0.178,1.186,1.199
0.16201801943036478,0.355986404828294,0.0,-0.252,-0.199,1.203,1.217
0.17359147758248056,0.33961583370909126,0.0,-0.272,-0.221,1.218,1.233
0.18516493573459647,0.3232452625898888,0.0,-0.292,-0.242,1.231,1.247
0.1967363149468609,0.3068734911941913,0.0,-0.313,-0.264,1.242,1.259
0.20830977309897666,0.2905005195219984,0.0,-0.334,-0.286,1.251,1.269
0.21988323125109258,0.2741299484027959,0.0,-0.357,-0.31,1.257,1.276
0.231454610463357,0.2577581770070984,0.0,-0.38,-0.335,1.262,1.279
0.2430280686154729,0.24138520533490557,0.0,-0.406,-0.361,1.263,1.28
0.2546015267675887,0.225014634215703,0.0,-0.433,-0.39,1.263,1.278
0.2661729059798532,0.2086428628200056,0.0,-0.464,-0.422,1.26,1.274
0.277746364131969,0.19227229170080304,0.0,-0.498,-0.458,1.256,1.268
0.2893198222840848,0.1758993200286101,0.0,-0.536,-0.497,1.252,1.261
0.30089120149634935,0.1595275486329127,0.0,-0.578,-0.541,1.247,1.253
0.31246465964846515,0.14315697751371015,0.0,-0.625,-0.59,1.242,1.247
0.3240381178005809,0.12678640639450742,0.0,-0.676,-0.644,1.239,1.242
0.3356094970128455,0.11041223444581982,0.0,-0.725,-0.699,1.237,1.238
0.3471829551649612,0.09404166332661726,0.0,-0.742,-0.742,1.237,1.237
