kx,ky,kz,e1,e2,e3,e4
-0.6605971005951974,-1.1441877522476707,0.0,0.409,0.409,3.476,3.476
-0.6385771972420241,-1.0874342072052086,0.0,0.408,0.408,3.463,3.464
-0.6165572938888509,-1.0306806621627467,0.0,0.407,0.407,3.419,3.42
-0.5945373905356777,-0.9739294077864551,0.0,0.404,0.404,3.331,3.334
-0.5725174871825044,-0.917175862743993,0.0,0.399,0.399,3.201,3.207
-0.5504975838293311,-0.8604223177015311,0.0,0.391,0.391,3.045,3.055
-0.528477680476158,-0.803668772659069,0.0,0.379,0.379,2.881,2.894
-0.5064577771229847,-0.7469175182827774,0.0,0.361,0.362,2.721,2.723
-0.48443787376981146,-0.6901639732403154,0.0,0.338,0.339,2.554,2.565
-0.4624179704166382,-0.6334104281978534,0.0,0.308,0.311,2.401,2.419
-0.44039806706346496,-0.5766568831553913,0.0,0.273,0.281,2.266,2.291
-0.4183781637102917,-0.5199056287790997,0.0,0.238,0.252,2.151,2.181
-0.3963582603571184,-0.46315208373663774,0.0,0.206,0.229,2.054,2.088
-0.3743383570039452,-0.40639853869417575,0.0,0.185,0.218,1.974,2.01
-0.3523184536507719,-0.34964499365171375,0.0,0.178,0.22,1.908,1.942
-0.3302985502975987,-0.29289373927542217,0.0,0.183,0.235,1.857,1.885
-0.30827864694442547,-0.23614019423296012,0.0,0.199,0.257,1.823,1.84
-0.2862587435912522,-0.17938664919049807,0.0,0.22,0.285,1.808,1.813
-0.264238840238079,-0.1226331041480361,0.0,0.245,0.314,1.807,1.815
-0.24221893688490573,-0.06587955910557405,0.0,0.272,0.345,1.825,1.842
-0.22019903353173248,-0.009128304729282485,0.0,0.303,0.378,1.858,1.877
-0.19817913017855923,0.04762524031317958,0.0,0.337,0.414,1.86,1.869
-0.17615922682538598,0.10437878535564153,0.0,0.376,0.453,1.823,1.831
-0.1541393234722127,0.1611323303981036,0.0,0.419,0.498,1.779,1.785
-0.13211942011903946,0.2178835847743952,0.0,0.466,0.546,1.73,1.736
-0.11009951676586621,0.27463712981685723,0.0,0.514,0.595,1.68,1.687
-0.08807961341269296,0.3313906748593192,0.0,0.561,0.645,1.631,1.64
-0.06605971005951973,0.3881442199017812,0.0,0.603,0.689,1.587,1.598
-0.04403980670634648,0.44489547427807297,0.0,0.636,0.726,1.552,1.565
-0.02201990335317324,0.5016490193205349,0.0,0.657,0.749,1.528,1.544
0.0,0.5584025643629968,0.0,0.665,0.757,1.52,1.537
0.011043675852893262,0.542781366415797,0.0,0.663,0.755,1.522,1.539
0.022085367930709712,0.5271567324693415,0.0,0.658,0.75,1.528,1.543
0.03312904378360298,0.5115355345221416,0.0,0.65,0.741,1.536,1.551
0.04417271963649624,0.4959143365749418,0.0,0.64,0.73,1.548,1.561
0.05521441171431269,0.48029199329465677,0.0,0.628,0.716,1.561,1.573
0.06625808756720596,0.46466850468128645,0.0,0.614,0.701,1.576,1.587
0.07730176342009921,0.44904730673408666,0.0,0.599,0.685,1.592,1.602
0.08834345549791567,0.43342496345380144,0.0,0.584,0.668,1.609,1.617
0.09938713135080893,0.4178037655066018,0.0,0.568,0.651,1.626,1.633
0.11043080720370219,0.4021802768932316,0.0,0.551,0.633,1.643,1.649
0.12147249928151864,0.38655793361294627,0.0,0.535,0.615,1.66,1.665
0.1325161751344119,0.3709367356657466,0.0,0.518,0.598,1.676,1.68
0.14355985098730517,0.35531553771854696,0.0,0.502,0.58,1.692,1.694
0.1546015430651216,0.3396909037720912,0.0,0.486,0.563,1.706,1.708
0.16564521891801487,0.3240697058248914,0.0,0.47,0.546,1.72,1.72
0.17668889477090824,0.3084485078776918,0.0,0.453,0.529,1.731,1.732
0.1877305868487246,0.2928261645974064,0.0,0.437,0.511,1.741,1.742
0.19877426270161785,0.27720267598403625,0.0,0.42,0.493,1.749,1.751
0.20981793855451122,0.2615814780368366,0.0,0.402,0.475,1.756,1.758
0.22085963063232755,0.24595913475655123,0.0,0.383,0.455,1.76,1.763
0.23190330648522092,0.2303356461431811,0.0,0.363,0.433,1.763,1.765
0.2429469823381142,0.21471444819598146,0.0,0.34,0.41,1.764,1.766
0.25398867441593065,0.1990921049156961,0.0,0.316,0.383,1.764,1.765
0.26503235026882394,0.18347090696849644,0.0,0.288,0.354,1.762,1.763
0.27607602612171717,0.16784741835512626,0.0,0.256,0.32,1.759,1.759
0.28711771819953363,0.15222507507484093,0.0,0.22,0.282,1.756,1.756
0.29816139405242686,0.13660387712764127,0.0,0.181,0.239,1.753,1.753
0.30920506990532015,0.12098267918044145,0.0,0.14,0.192,1.75,1.75
0.3202467619831366,0.10535804523398576,0.0,0.105,0.143,1.748,1.749
0.33129043783602985,0.08973684728678608,0.0,0.104,0.104,1.748,1.748
