,crs2,crse2
obj_func_value,0.00018994350837940854,8.081117641290502e-05
lattice,3.022302679,3.167287237
fermi_energy,-0.3092600066835128,0.45960502023818506
delta,1.6040468190627835,1.3069743471929451
lamdba_c,0.007073215846387584,-0.0010008100220684057
lambda_v,0.032172369641087856,0.04448282476264409
gamma_0,-0.40882576132292997,0.3312449489636377
gamma_1,-0.16019497659771864,-0.12161744441684331
gamma_2,0.16364672937691394,0.12765460151048635
gamma_3,-0.13935919312590578,0.10652609354566074
gamma_4,-0.020368059760863574,-0.01637043192780575
gamma_5,0.02578875149253734,0.02036336532135212
gamma_6,0.0689219356344929,-0.05585072042618104
