,order_1,order_3,expected_values
obj_func_value,2.672495028668887e-05,0.0003951989238720869,
lattice,3.022302679,3.022302679,
fermi_energy,0.006432956039540749,-0.02203826034023393,0.3536
delta,0.980136372115262,1.0260040161435036,0.942
lambda_c,0.00156270536863308,-0.0014290275870424349,0.0040000000000000036
lambda_v,0.03405734919571722,0.03207740184899359,0.069
gamma_0,0.6684076712043975,-0.4950279921165266,
gamma_1,,0.10618450669715758,
gamma_2,,-0.08872764883300467,
gamma_3,,-0.30301051340135987,
gamma_4,,-0.13373062155063506,
gamma_5,,0.10762870693756937,
gamma_6,,0.15331652179670446,
