,order_1,order_3,expected_values
obj_func_value,9.300853095746302e-05,1.7125142557620629e-06,
lattice,3.167287237,3.167287237,
fermi_energy,0.7069080884734991,0.7106555148512013,0.8903
delta,0.8255059936559038,0.8171962757731145,0.763
lamdba_c,0.008255713876571147,0.008505148548830567,0.016999999999999904
lambda_v,0.047197250939657404,0.04745955019530924,0.09199999999999997
gamma_0,0.5148556449078553,0.5773322003493505,
gamma_0,,-0.022480271186392526,
gamma_1,,0.026703800304705018,
gamma_2,,0.031088204046408035,
gamma_3,,0.04019302276655691,
gamma_4,,-0.04267638629517745,
gamma_5,,-0.09198747931215716,
