,order_1,order_3,expected_values
obj_func_value,9.300768034200631e-05,5.881499555763299e-05,
lattice,3.167287237,3.167287237,
fermi_energy,0.7068938558471608,0.6965467306311585,0.8903
delta,0.8255252290355333,0.8326452132821188,0.763
lamdba_c,0.008259511147220504,0.007055047353975254,0.016999999999999904
lambda_v,0.047231941064175206,0.046937442430513315,0.09199999999999997
gamma_0,0.5148733421263457,-0.37312227489266603,
gamma_0,,0.15109906202440587,
gamma_1,,-0.06820855843094387,
gamma_2,,-0.42892396429761404,
gamma_3,,-0.23187934838511967,
gamma_4,,0.16948400243871944,
gamma_5,,0.2158726877802686,
