,order_1,order_3,expected_values
obj_func_value,0.0002131236128448609,0.0007609761865903946,
lattice,3.165,3.165,
fermi_energy,0.36170245417875174,0.37488945627738424,0.8535
delta,1.7658093811923095,1.7530514076719192,1.6750000000000003
lambda_c,0.0,0.0,0.0029999999999996696
lambda_v,0.07217815170011604,0.0718057925857751,0.14800000000000002
gamma_0,1.0469496717775315,-1.1666205381021064,
gamma_1,,-0.03488294252379696,
gamma_2,,0.03092524477983336,
gamma_3,,-0.21809259846041695,
gamma_4,,-0.21207661949121318,
gamma_5,,0.12360320292282771,
gamma_6,,0.2501350014961836,
