,order_1,order_3,expected_values
obj_func_value,0.0002130115019613116,0.0011961358773525017,
lattice,3.165,3.165,
fermi_energy,0.36181679381099907,0.3251764806278926,0.8535
delta,1.765622673984762,1.8218977563890857,1.6750000000000003
lambda_c,-0.0005169930054147245,-0.002653381752933698,0.0029999999999996696
lambda_v,0.07212651444648543,0.07239883521627608,0.14800000000000002
gamma_0,1.047273266244976,-1.424552650510928,
gamma_1,,-0.5352524707641575,
gamma_2,,0.5636529392245349,
gamma_3,,0.06486175804512151,
gamma_4,,0.2379524177727178,
gamma_5,,-0.3380960903684832,
gamma_6,,0.21470857507426033,
